site,n_steps,gatep_mean,gatep_first_epoch,gatep_mid_epoch,gatep_last_epoch,sampled_active_frac,effw_mean,cos_mean,cos_std,raw_mean,raw_std,uema_final,gl_norm_mean,tilde_norm_mean,support_mean,proj_activation_rate,aux_mass_sum,collapse_epoch,final_gatep_selected
pool1,4200,0.03661188881874201,0.039872375412078026,0.03907636532096589,0.030886925723182114,0.0530952380952381,0.036650010535404794,0.0006716062769664733,0.026318622073886355,0.00010205273188538351,0.028172438835977524,0.03680700967088342,1.8808112518028135,1.8807853018279586,0.2126650295463724,0.21095238095238095,98.19486351690176,2,8.634567460507474e-29
pool2,4200,0.41432308479920343,0.44452218121304915,0.42133674773908986,0.3771103254454712,0.4257142857142857,0.4152011889414418,0.001270403199160766,0.021320022149605267,0.00015427273827234395,0.020705245157237276,0.011603096983162687,1.8950801749491974,1.8950801740622236,0.01763522563889908,0.0002380952380952381,2028.4363591550505,10,8.334607745586834e-19
pool3,4200,0.6860785182236909,0.7290760991725675,0.6638898137987429,0.6652696416997624,0.694047619047619,0.6869643492003282,0.0017821864108955102,0.01856436185943075,0.0003276504738278163,0.016840352005218526,-0.05159834418445826,1.9564854231334867,1.9564854186205638,0.11610818308392924,0.0002380952380952381,4986.690948003286,none,1.0089526767842472e-05
pool4,4200,0.7387357814575927,0.7698921392455318,0.7203526243898094,0.7259625807374367,0.7552380952380953,0.735166274082093,0.001924093819438159,0.01895694179763092,0.0007272414502650853,0.02005487471641553,-0.05502963438630104,2.3266569941952113,2.3266569516204654,0.5099329330212495,0.0007142857142857143,6595.590550609295,none,0.7594494223594666
pool5,4200,0.903340019337407,0.9122964593523121,0.8965876827474246,0.901135915912484,0.9130952380952381,0.9017941200502572,0.0023713986566535274,0.02267560440036561,0.0008671771230192029,0.024831874939839696,-0.07392935622483492,2.4622012543997593,2.462200758482019,0.9805674724726643,0.0002380952380952381,9257.370541981087,none,1.0
