class_idx,n,n_err,acc,aurc,cov50,cov70,cov90,cov95
0,100,10,0.9,0.01164109392360853,0.97,0.92,0.83,0.78
1,100,12,0.88,0.01767914737721799,0.95,0.88,0.83,0.78
2,100,38,0.62,0.23682380990031285,0.82,0.67,0.46,0.34
3,100,41,0.59,0.22680196296888025,0.79,0.62,0.43,0.32
4,100,33,0.67,0.18931807513150642,0.81,0.67,0.48,0.4
5,100,23,0.77,0.06701855759796549,0.9,0.84,0.71,0.68
6,100,16,0.84,0.050030495438238995,0.94,0.79,0.71,0.65
7,100,31,0.69,0.08367661883349063,0.91,0.83,0.65,0.61
8,100,13,0.87,0.02342954403768315,0.95,0.92,0.85,0.83
9,100,15,0.85,0.026103772709212783,0.91,0.84,0.77,0.74
10,100,49,0.51,0.3909224191181408,0.89,0.58,0.43,0.3
11,100,47,0.53,0.27483801815555015,0.86,0.61,0.35,0.23
12,100,20,0.8,0.04093845537560314,0.91,0.84,0.77,0.68
13,100,36,0.64,0.1727383612832811,0.94,0.77,0.62,0.54
14,100,38,0.62,0.1164576036303764,0.89,0.82,0.66,0.56
15,100,18,0.82,0.029365834607815652,0.94,0.89,0.79,0.75
16,100,25,0.75,0.06432095442814437,0.94,0.77,0.67,0.59
17,100,11,0.89,0.02110314743801768,0.99,0.94,0.86,0.83
18,100,40,0.6,0.1429243991654381,0.88,0.76,0.53,0.46
19,100,38,0.62,0.12616738109939768,0.86,0.7,0.56,0.52
20,100,15,0.85,0.014394647595443167,0.94,0.89,0.86,0.82
21,100,11,0.89,0.014083503859425583,0.98,0.86,0.78,0.76
22,100,27,0.73,0.06521249742052232,0.92,0.81,0.7,0.64
23,100,22,0.78,0.06373064500740129,0.95,0.9,0.71,0.64
24,100,17,0.83,0.028745274810095308,0.95,0.89,0.75,0.7
25,100,35,0.65,0.1574563565403812,0.85,0.72,0.59,0.52
26,100,31,0.69,0.08091303155458517,0.83,0.71,0.57,0.53
27,100,37,0.63,0.19519698512437908,0.85,0.67,0.44,0.37
28,100,20,0.8,0.03165927061790539,0.93,0.86,0.77,0.75
29,100,25,0.75,0.058639965352981535,0.86,0.75,0.65,0.63
30,100,34,0.66,0.10638253755480215,0.93,0.85,0.55,0.49
31,100,28,0.72,0.10623525884749072,0.93,0.77,0.63,0.56
32,100,30,0.7,0.07435730767834907,0.88,0.72,0.61,0.57
33,100,34,0.66,0.14494554329268627,0.85,0.74,0.56,0.43
34,100,17,0.83,0.056787387258680926,0.97,0.86,0.71,0.65
35,100,45,0.55,0.39611838662337695,0.85,0.6,0.24,0.14
36,100,17,0.83,0.036828184385589206,0.95,0.83,0.75,0.68
37,100,26,0.74,0.11388621100754652,0.92,0.77,0.64,0.6
38,100,37,0.63,0.12511507606996985,0.87,0.66,0.54,0.45
39,100,12,0.88,0.0156681019835083,0.95,0.9,0.84,0.82
40,100,32,0.68,0.09162558368552984,0.89,0.78,0.62,0.57
41,100,11,0.89,0.01277825611998774,0.96,0.92,0.83,0.79
42,100,25,0.75,0.06650250842596042,0.9,0.81,0.71,0.66
43,100,16,0.84,0.032890912358985884,0.94,0.85,0.8,0.74
44,100,47,0.53,0.24402352269934588,0.83,0.65,0.46,0.39
45,100,40,0.6,0.19686439754197294,0.78,0.66,0.55,0.46
46,100,54,0.46,0.3486184602675953,0.82,0.58,0.37,0.29
47,100,32,0.68,0.14711146642375986,0.91,0.77,0.46,0.36
48,100,7,0.93,0.005508667776671309,0.99,0.95,0.92,0.89
49,100,12,0.88,0.018080284940193682,0.95,0.93,0.85,0.81
50,100,49,0.51,0.2766715671713271,0.88,0.72,0.47,0.35
51,100,26,0.74,0.06331231571646535,0.85,0.81,0.72,0.7
52,100,26,0.74,0.16580985450013355,0.97,0.73,0.37,0.11
53,100,4,0.96,0.0024942671368390333,0.97,0.96,0.93,0.89
54,100,16,0.84,0.04558025643178071,0.89,0.77,0.73,0.7
55,100,53,0.47,0.3381813432481133,0.76,0.59,0.36,0.31
56,100,8,0.92,0.00981900916783412,0.96,0.92,0.85,0.81
57,100,24,0.76,0.06751218711867683,0.91,0.82,0.74,0.67
58,100,11,0.89,0.019104264076649075,0.98,0.9,0.82,0.81
59,100,38,0.62,0.1716875748489027,0.95,0.72,0.49,0.39
60,100,12,0.88,0.01757295252314368,0.99,0.89,0.81,0.77
61,100,25,0.75,0.10985970296395578,0.93,0.83,0.69,0.55
62,100,23,0.77,0.06439980531809777,0.92,0.82,0.66,0.58
63,100,32,0.68,0.09661280319658783,0.89,0.82,0.64,0.6
64,100,45,0.55,0.1768723649290788,0.84,0.73,0.57,0.46
65,100,43,0.57,0.18951523080968563,0.81,0.69,0.58,0.52
66,100,19,0.81,0.02909951639492727,0.96,0.85,0.79,0.75
67,100,37,0.63,0.1657032204590803,0.91,0.77,0.55,0.44
68,100,5,0.95,0.005462376111363809,1.0,0.97,0.96,0.92
69,100,24,0.76,0.058462324309321224,0.96,0.89,0.76,0.68
70,100,33,0.67,0.16615649556188974,0.93,0.8,0.59,0.52
71,100,15,0.85,0.10568402850341782,0.96,0.88,0.73,0.62
72,100,53,0.47,0.3540567702845721,0.77,0.57,0.39,0.29
73,100,52,0.48,0.3985457370939145,0.83,0.59,0.34,0.24
74,100,47,0.53,0.2290956278257205,0.82,0.7,0.48,0.43
75,100,6,0.94,0.004622775378524151,0.94,0.92,0.86,0.83
76,100,8,0.92,0.009332187279523568,0.95,0.93,0.88,0.81
77,100,30,0.7,0.08433711054712426,0.91,0.79,0.66,0.61
78,100,33,0.67,0.14641555285938834,0.86,0.7,0.55,0.5
79,100,25,0.75,0.04601450850553628,0.9,0.78,0.7,0.66
80,100,51,0.49,0.2549813220763005,0.8,0.66,0.48,0.35
81,100,26,0.74,0.21442819431856602,0.94,0.84,0.67,0.54
82,100,6,0.94,0.0031890703523958053,0.98,0.94,0.88,0.88
83,100,40,0.6,0.24308661580671198,0.91,0.77,0.63,0.54
84,100,39,0.61,0.12705712517474643,0.9,0.86,0.74,0.69
85,100,14,0.86,0.02499873755948633,0.96,0.89,0.81,0.76
86,100,26,0.74,0.06414125184390088,0.92,0.83,0.74,0.7
87,100,15,0.85,0.037748359243936255,0.96,0.92,0.78,0.74
88,100,21,0.79,0.056150774239356396,0.95,0.84,0.73,0.66
89,100,13,0.87,0.012944757629689684,0.95,0.89,0.83,0.78
90,100,17,0.83,0.03188227269913925,0.95,0.87,0.75,0.69
91,100,23,0.77,0.04605928696455976,0.94,0.88,0.78,0.75
92,100,39,0.61,0.19273613566821626,0.92,0.76,0.52,0.46
93,100,44,0.56,0.16114752727480208,0.86,0.68,0.53,0.48
94,100,7,0.93,0.004256666402812258,0.99,0.93,0.88,0.84
95,100,25,0.75,0.07728595122833981,0.91,0.78,0.63,0.57
96,100,41,0.59,0.2606429199917405,0.91,0.79,0.52,0.38
97,100,15,0.85,0.022547670650204417,0.96,0.88,0.77,0.7
98,100,50,0.5,0.30306695909619286,0.83,0.7,0.35,0.23
99,100,23,0.77,0.05549943857382984,0.92,0.84,0.69,0.67
